No,Compte,Intitulé / libellé compte,Classe,,,
114,168600,participation des travailleurs aux bénéfices,1,,,
115,170000,DETTES DE CREDIT-BAIL ET CONTRATS ASSIMILES,1,,,
116,172000,emprunts équivalents de crédit-bail immobilier,1,,,
117,173000,emprunts équivalents de crédit-bail mobilier,1,,,
118,176000,INTERETS COURUS,1,,,
119,176200,sur emprunts équivalents de crédit-bail immobilier,1,,,
120,176300,sur emprunts équivalents de crédit-bail mobilier,1,,,
121,176800,sur emprunts équivalents d'autres contrats,1,,,
122,177000,EMPRUNTS EQUIVALENTS D'AUTRES CONTRATS,1,,,
123,180000,DETTES LIEES A DES PARTICIPATIONS ET COMPTES DE LIAISON DES ETABLISSEMENTS ET SOCIETES EN PARTICIPATION,1,,,
124,181000,DETTES LIEES A DES PARTICIPATIONS,1,,,
125,181100,dettes liées à des participations (Groupes),1,,,
126,181200,dettes liees à des participations (hors groupes),1,,,
127,182000,COMPTES DE LIAISON DES ETABLISSEMENTS ET SOCIETES EN PARTICIPATION,1,,,
128,182100,comptes de liaison des établissements,1,,,
129,182200,comptes de liaison des sociétés en participation,1,,,
130,183000,COMPTES DE REGULARISATION DES DETTES,1,,,
131,183100,comptes de régularisation des dettes (Groupes),1,,,
132,183200,comptes de régularisation des dettes (hors groupes),1,,,
133,190000,COMPTES SPECIAUX D'EMPRUNTS ET DETTES ASSIMILEES,1,,,
134,191000,comptes d'attente d'emprunts,1,,,
135,198000,autres comptes spéciaux d'emprunts et dettes,1,,,
136,199000,COMPTES TRANSITOIRES D'EMPRUNTS ET DETTES,1,,,
137,199100,comptes transitoires d'emprunts et dettes (Groupes),1,,,
138,199200,comptes transitoires d'emprunts et dettes (hors groupes),1,,,
139,200000,IMMOBILISATIONS INCORPORELLES,2,,,
140,201000,FOURS ET OUTILLAGES,2,,,
141,201100,frais d'établissement,2,,,
142,201200,frais d'émission des emprunts,2,,,
143,201300,frais d'acquisition,2,,,
144,201400,prime de remboursement des emprunts,2,,,
145,201800,autres frais d'incorporels,2,,,
146,202000,BREVETS,2, LOGICIELS ET DROITS SIMILAIRES,2,
147,202100,brevets,2,,,
148,202200,licences,2,,,
149,202300,logiciels,2,,,
150,202800,autres droits similaires,2,,,
151,203000,DROITS A PERCEPTION,2,,,
152,203100,droits à perception,2,,,
153,203800,autres droits incorporels,2,,,
154,204000,FONDS COMMERCIAL,2,,,
155,204100,fonds commercial,2,,,
156,204800,autres fonds commerciaux,2,,,
157,205000,CONCESSIONS ET DROITS SIMILAIRES,2,,,
158,205100,concessions,2,,,
159,205800,autres droits similaires,2,,,
160,206000,DROITS ET VALEURS EN COURS D'AMORTISSEMENT,2,,,
161,206100,droits et valeurs en cours d'amortissement,2,,,
162,206800,autres droits et valeurs,2,,,
163,207000,AUTRES IMMOBILISATIONS INCORPORELLES,2,,,
164,207100,autres immobilisations incorporelles,2,,,
165,207800,immobilisations incorporelles diverses,2,,,
166,208000,IMMOBILISATIONS EN COURS,2,,,
167,208100,immobilisations incorporelles en cours,2,,,
168,209000,AMORTISSEMENTS DES IMMOBILISATIONS INCORPORELLES,2,,,
169,209100,amortissements des frais d'établissement,2,,,
170,209200,amortissements des frais d'émission des emprunts,2,,,
171,209300,amortissements des frais d'acquisition,2,,,
172,209400,amortissements des primes de remboursement des emprunts,2,,,
173,209500,amortissements des brevets,2,,,
174,209600,amortissements des licences,2,,,
175,209700,amortissements des logiciels,2,,,
176,209800,amortissements des autres droits similaires,2,,,
177,209900,amortissements des fonds commerciaux,2,,,
178,210000,PROVISIONS POUR DEPRECIATION DES IMMOBILISATIONS INCORPORELLES,2,,,
179,210100,provisions pour dépréciation des frais d'établissement,2,,,
180,210200,provisions pour dépréciation des frais d'émission des emprunts,2,,,
181,210300,provisions pour dépréciation des frais d'acquisition,2,,,
182,210400,provisions pour dépréciation des primes de remboursement des emprunts,2,,,
183,210500,provisions pour dépréciation des brevets,2,,,
184,210600,provisions pour dépréciation des licences,2,,,
185,210700,provisions pour dépréciation des logiciels,2,,,
186,210800,provisions pour dépréciation des autres droits similaires,2,,,
187,210900,provisions pour dépréciation des fonds commerciaux,2,,,
188,211000,TERRAINS,2,,,
189,211100,terrains nus,2,,,
190,211200,terrains de gisement,2,,,
191,211300,terrains bâtis,2,,,
192,211800,autres terrains,2,,,
193,212000,BATIMENTS,2,,,
194,212100,bâtiments industriels,2,,,
195,212200,bâtiments administratifs,2,,,
196,212300,bâtiments commerciaux,2,,,
197,212800,autres bâtiments,2,,,
198,213000,INSTALLATIONS TECHNIQUES,2,2,,
199,213100,installations techniques,2,,,
200,213200,équipements industriels,2,,,
201,213300,outillages industriels,2,,,
202,213800,autres installations techniques,2,,,
203,214000,AUTRES IMMOBILISATIONS CORPORELLES,2,,,
204,214100,matériel de transport,2,,,
205,214200,matériel de bureau et informatique,2,,,
206,214300,ameublement,2,,,
207,214800,autres immobilisations corporelles,2,,,
208,215000,IMMOBILISATIONS EN COURS,2,,,
209,215100,immobilisations corporelles en cours,2,,,
210,216000,AVANCES ET ACOMPTES VERSES SUR IMMOBILISATIONS CORPORELLES,2,,,
211,216100,avances et acomptes versés sur terrains,2,,,
212,216200,avances et acomptes versés sur bâtiments,2,,,
213,216300,avances et acomptes versés sur installations techniques,2,,,
214,216400,avances et acomptes versés sur autres immobilisations corporelles,2,,,
215,217000,IMMOBILISATIONS MISES EN CONCESSION,2,,,
216,217100,immobilisations mises en concession,2,,,
217,218000,IMMOBILISATIONS ACQUISES EN CREDIT-BAIL,2,,,
218,218100,immobilisations corporelles en crédit-bail,2,,,
219,219000,AMORTISSEMENTS DES IMMOBILISATIONS CORPORELLES,2,,,
220,219100,amortissements des terrains,2,,,
221,219200,amortissements des bâtiments,2,,,
222,219300,amortissements des installations techniques,2,,,
223,219400,amortissements des équipements industriels,2,,,
224,219500,amortissements des outillages industriels,2,,,
225,219600,amortissements du matériel de transport,2,,,
226,219700,amortissements du matériel de bureau et informatique,2,,,
227,219800,amortissements des autres immobilisations corporelles,2,,,
228,220000,PROVISIONS POUR DEPRECIATION DES IMMOBILISATIONS CORPORELLES,2,,,
229,220100,provisions pour dépréciation des terrains,2,,,
230,220200,provisions pour dépréciation des bâtiments,2,,,
231,220300,provisions pour dépréciation des installations techniques,2,,,
232,220400,provisions pour dépréciation des équipements industriels,2,,,
233,220500,provisions pour dépréciation des outillages industriels,2,,,
234,220600,provisions pour dépréciation du matériel de transport,2,,,
235,220700,provisions pour dépréciation du matériel de bureau et informatique,2,,,
236,220800,provisions pour dépréciation des autres immobilisations corporelles,2,,,
237,221000,IMMOBILISATIONS FINANCIERES,2,,,
238,221100,participations,2,,,
239,221200,prêts,2,,,
240,221300,autres immobilisations financières,2,,,
241,222000,TITRES DE PARTICIPATION,2,,,
242,222100,titres de participation dans les filiales,2,,,
243,222200,titres de participation dans les sociétés liées,2,,,
244,222300,autres titres de participation,2,,,
245,223000,PRETS,2,,,
246,223100,prêts aux filiales,2,,,
247,223200,prêts aux sociétés liées,2,,,
248,223300,autres prêts,2,,,
249,224000,AUTRES IMMOBILISATIONS FINANCIERES,2,,,
250,224100,dépôts et cautionnements versés,2,,,
251,224200,immobilisations financières diverses,2,,,
252,225000,IMMOBILISATIONS FINANCIERES EN COURS,2,,,
253,225100,immobilisations financières en cours,2,,,
254,226000,AVANCES ET ACOMPTES VERSES SUR IMMOBILISATIONS FINANCIERES,2,,,
255,226100,avances et acomptes versés sur titres de participation,2,,,
256,226200,avances et acomptes versés sur prêts,2,,,
257,226300,avances et acomptes versés sur autres immobilisations financières,2,,,
258,227000,IMMOBILISATIONS MISES EN CONCESSION,2,,,
259,227100,immobilisations financières mises en concession,2,,,
260,228000,IMMOBILISATIONS ACQUISES EN CREDIT-BAIL,2,,,
261,228100,immobilisations financières en crédit-bail,2,,,
262,229000,AMORTISSEMENTS DES IMMOBILISATIONS FINANCIERES,2,,,
263,229100,amortissements des titres de participation,2,,,
264,229200,amortissements des prêts,2,,,
265,229300,amortissements des autres immobilisations financières,2,,,
266,230000,PROVISIONS POUR DEPRECIATION DES IMMOBILISATIONS FINANCIERES,2,,,
267,230100,provisions pour dépréciation des titres de participation,2,,,
268,230200,provisions pour dépréciation des prêts,2,,,
269,230300,provisions pour dépréciation des autres immobilisations financières,2,,,
270,240000,STOCKS,3,,,
271,241000,BIENS ET FOURNITURES,2,,,
272,241100,matières premières,2,,,
273,241200,autres approvisionnements,2,,,
274,241300,fournitures consommables,2,,,
275,241800,autres biens,2,,,
276,242000,EN-COURS DE PRODUCTION DE BIENS,2,,,
277,242100,produits en cours,2,,,
278,242200,travail en cours,2,,,
279,243000,EN-COURS DE PRODUCTION DE SERVICES,2,,,
280,243100,études en cours,2,,,
281,243200,prestations de services en cours,2,,,
282,244000,PRODUITS INTERMEDIAIRES ET RESIDUELS,2,,,
283,244100,produits intermédiaires,2,,,
284,244200,produits résiduels,2,,,
285,245000,PRODUITS FINIS,2,,,
286,245100,produits finis,2,,,
287,246000,PRODUITS INTERMEDIAIRES,3,,,
288,246100,produits intermédiaires,3,,,
289,247000,PRODUITS RESIDUELS,3,,,
290,247100,produits résiduels,3,,,
291,248000,PRODUITS EXPEDIES,2, ET EMBALLAGES,3,
292,248100,produits expédiés non encore livrés,3,,,
293,248200,produits retournés,3,,,
294,248300,emballages,3,,,
295,249000,PROVISIONS POUR DEPRECIATION DES STOCKS,3,,,
296,249100,provisions pour dépréciation des matières premières,3,,,
297,249200,provisions pour dépréciation des autres approvisionnements,3,,,
298,249300,provisions pour dépréciation des fournitures consommables,3,,,
299,249400,provisions pour dépréciation des autres biens,3,,,
300,249500,provisions pour dépréciation des produits en cours,3,,,
301,249600,provisions pour dépréciation du travail en cours,3,,,
302,249700,provisions pour dépréciation des études en cours,3,,,
303,249800,provisions pour dépréciation des prestations de services en cours,3,,,
304,249900,provisions pour dépréciation des produits intermédiaires,3,,,
305,250000,CREANCES,4,,,
306,251000,CREANCES LIEES A DES PARTICIPATIONS,4,,,
307,251100,créances liées à des participations (Groupes),4,,,
308,251200,créances liées à des participations (hors groupes),4,,,
309,252000,AUTRES CREANCES,4,,,
310,252100,clients,4,,,
311,252200,personnel,4,,,
312,252300,Etats et collectivités publiques,4,,,
313,252400,assurances,4,,,
314,252500,comptes rattachés,4,,,
315,252600,comptes divers,4,,,
316,253000,COMPTES DE REGULARISATION DES CREANCES,4,,,
317,253100,comptes de régularisation des créances (Groupes),4,,,
318,253200,comptes de régularisation des créances (hors groupes),4,,,
319,254000,CREANCES DOUTEUSES OU LITIGIEUSES,4,,,
320,254100,créances douteuses ou litigieuses (Groupes),4,,,
321,254200,créances douteuses ou litigieuses (hors groupes),4,,,
322,255000,COMPTES TRANSITOIRES DE CREANCES,4,,,
323,255100,comptes transitoires de créances (Groupes),4,,,
324,255200,comptes transitoires de créances (hors groupes),4,,,
325,256000,CREANCES CENSES ETRE REGLEES EN MONNAIES ETRANGERES,4,,,
326,256100,créances en monnaies étrangères (Groupes),4,,,
327,256200,créances en monnaies étrangères (hors groupes),4,,,
328,259000,PROVISIONS POUR DEPRECIATION DES CREANCES,4,,,
329,259100,provisions pour dépréciation des créances liées à des participations,4,,,
330,259200,provisions pour dépréciation des autres créances,4,,,
331,259300,provisions pour dépréciation des créances douteuses ou litigieuses,4,,,
332,260000,TITRES ET VALEURS DE PLACEMENT,5,,,
333,261000,TITRES DE PARTICIPATION,5,,,
334,261100,titres de participation dans les filiales,5,,,
335,261200,titres de participation dans les sociétés liées,5,,,
336,261300,autres titres de participation,5,,,
337,262000,AUTRES TITRES ET VALEURS DE PLACEMENT,5,,,
338,262100,actions,5,,,
339,262200,obligations,5,,,
340,262300,bon du trésor,5,,,
341,262800,autres titres et valeurs,5,,,
342,269000,PROVISIONS POUR DEPRECIATION DES TITRES ET VALEURS DE PLACEMENT,5,,,
343,269100,provisions pour dépréciation des titres de participation,5,,,
344,269200,provisions pour dépréciation des autres titres et valeurs,5,,,
345,270000,INSTRUMENTS DE TRESORERIE,5,,,
346,271000,CHEQUES ET VALEURS A ENCAISSER,5,,,
347,271100,chèques et valeurs à encaisser,5,,,
348,272000,FONDS DISPONIBLES,5,,,
349,272100,billets et pièces,5,,,
350,272200,comptes bancaires créditeurs,5,,,
351,272300,comptes de chèques postaux créditeurs,5,,,
352,272400,comptes d'épargne créditeurs,5,,,
353,272500,comptes de dépôts à terme créditeurs,5,,,
354,272800,autres fonds disponibles,5,,,
355,273000,VALEURS EN COURS,5,,,
356,273100,valeurs en cours,5,,,
357,274000,INSTRUMENTS DE TRESORERIE EN MONNAIES ETRANGERES,5,,,
358,274100,instruments de trésorerie en monnaies étrangères,5,,,
359,275000,COMPTES TRANSITOIRES D'ACTIFS,5,,,
360,275100,comptes transitoires d'actifs (Groupes),5,,,
361,275200,comptes transitoires d'actifs (hors groupes),5,,,
362,276000,COMPTES D'ATTENTE,5,,,
363,276100,comptes d'attente (Groupes),5,,,
364,276200,comptes d'attente (hors groupes),5,,,
365,277000,COMPTES DE LIQUIDATION,5,,,
366,277100,comptes de liquidation (Groupes),5,,,
367,277200,comptes de liquidation (hors groupes),5,,,
368,278000,COMPTES SPECIAUX D'ACTIFS,5,,,
369,278100,comptes spéciaux d'actifs (Groupes),5,,,
370,278200,comptes spéciaux d'actifs (hors groupes),5,,,
371,279000,PROVISIONS POUR DEPRECIATION DES ACTIFS FINANCIERS,5,,,
372,279100,provisions pour dépréciation des chèques et valeurs à encaisser,5,,,
373,279200,provisions pour dépréciation des fonds disponibles,5,,,
374,279300,provisions pour dépréciation des valeurs en cours,5,,,
375,279400,provisions pour dépréciation des instruments de trésorerie en monnaies étrangères,5,,,
376,280000,COMPTES DE LIASON,5,,,
377,281000,COMPTES DE LIAISON DES ETABLISSEMENTS,5,,,
378,281100,comptes de liaison des établissements (Groupes),5,,,
379,281200,comptes de liaison des établissements (hors groupes),5,,,
380,282000,COMPTES DE LIAISON DES SOCIETES EN PARTICIPATION,5,,,
381,282100,comptes de liaison des sociétés en participation (Groupes),5,,,
382,282200,comptes de liaison des sociétés en participation (hors groupes),5,,,
383,283000,COMPTES DE REGULARISATION DES ACTIFS,5,,,
384,283100,comptes de régularisation des actifs (Groupes),5,,,
385,283200,comptes de régularisation des actifs (hors groupes),5,,,
386,290000,COMPTES DE GRAND LIVRE D'ATTENTE,5,,,
387,291000,comptes de grand livre d'attente (Groupes),5,,,
388,291200,comptes de grand livre d'attente (hors groupes),5,,,
389,299000,COMPTES TRANSITOIRES D'ACTIFS ET DE PASSIFS,5,,,
390,299100,comptes transitoires d'actifs et de passifs (Groupes),5,,,
391,299200,comptes transitoires d'actifs et de passifs (hors groupes),5,,,
392,300000,FOURNISSEURS ET COMPTES ASSIMILES,4,,,
393,301000,FOURNISSEURS D'IMMOBILISATIONS,4,,,
394,301100,fournisseurs d'immobilisations incorporelles,4,,,
395,301200,fournisseurs d'immobilisations corporelles,4,,,
396,301300,fournisseurs d'immobilisations financières,4,,,
397,301800,autres fournisseurs d'immobilisations,4,,,
398,302000,FOURNISSEURS DE BIENS ET SERVICES,4,,,
399,302100,fournisseurs de matières premières,4,,,
400,302200,fournisseurs d'autres approvisionnements,4,,,
401,302300,fournisseurs de fournitures consommables,4,,,
402,302400,fournisseurs de services,4,,,
403,302800,autres fournisseurs de biens,4,,,
404,303000,FOURNISSEURS - EFFETS A PAYER,4,,,
405,303100,effets à payer sur immobilisations,4,,,
406,303200,effets à payer sur biens et services,4,,,
407,304000,FOURNISSEURS - COMPTES RATTACHES,4,,,
408,304100,fournisseurs - comptes rattachés (Groupes),4,,,
409,304200,fournisseurs - comptes rattachés (hors groupes),4,,,
410,305000,COMPTES DE REGULARISATION DES FOURNISSEURS,4,,,
411,305100,comptes de régularisation des fournisseurs (Groupes),4,,,
412,305200,comptes de régularisation des fournisseurs (hors groupes),4,,,
413,306000,FOURNISSEURS D'AVANCES ET ACOMPTES RECUS,4,,,
414,306100,avances et acomptes reçus sur immobilisations,4,,,
415,306200,avances et acomptes reçus sur biens,4,,,
416,306300,avances et acomptes reçus sur services,4,,,
417,307000,FOURNISSEURS CENSES ETRE REGLES EN MONNAIES ETRANGERES,4,,,
418,307100,fournisseurs en monnaies étrangères (Groupes),4,,,
419,307200,fournisseurs en monnaies étrangères (hors groupes),4,,,
420,308000,AUTRES FOURNISSEURS ET COMPTES ASSIMILES,4,,,
421,308100,fournisseurs divers,4,,,
422,308200,effets à recevoir,4,,,
423,308300,comptes d'attente,4,,,
424,309000,PROVISIONS POUR DEPRECIATION DES FOURNISSEURS ET COMPTES ASSIMILES,4,,,
425,309100,provisions pour dépréciation des fournisseurs d'immobilisations,4,,,
426,309200,provisions pour dépréciation des fournisseurs de biens et services,4,,,
427,309300,provisions pour dépréciation des effets à payer,4,,,
428,310000,CLIENTS ET COMPTES ASSIMILES,4,,,
429,311000,CLIENTS,4,,,
430,311100,clients (Groupes),4,,,
431,311200,clients (hors groupes),4,,,
432,312000,CLIENTS - EFFETS A RECEVOIR,4,,,
433,312100,effets à recevoir sur ventes,4,,,
434,312200,effets à recevoir sur prestations,4,,,
435,313000,CLIENTS - COMPTES RATTACHES,4,,,
436,313100,clients - comptes rattachés (Groupes),4,,,
437,313200,clients - comptes rattachés (hors groupes),4,,,
438,314000,COMPTES DE REGULARISATION DES CLIENTS,4,,,
439,314100,comptes de régularisation des clients (Groupes),4,,,
440,314200,comptes de régularisation des clients (hors groupes),4,,,
441,315000,CLIENTS - AVANCES ET ACOMPTES VERSES,4,,,
442,315100,avances et acomptes versés sur commandes,4,,,
443,315200,avances et acomptes versés sur prestations,4,,,
444,316000,CLIENTS CENSES ETRE REGLES EN MONNAIES ETRANGERES,4,,,
445,316100,clients en monnaies étrangères (Groupes),4,,,
446,316200,clients en monnaies étrangères (hors groupes),4,,,
447,317000,AUTRES CLIENTS ET COMPTES ASSIMILES,4,,,
448,317100,clients divers,4,,,
449,317200,effets à payer,4,,,
450,317300,comptes d'attente,4,,,
451,319000,PROVISIONS POUR DEPRECIATION DES CLIENTS ET COMPTES ASSIMILES,4,,,
452,319100,provisions pour dépréciation des clients,4,,,
453,319200,provisions pour dépréciation des effets à recevoir,4,,,
454,320000,PERSONNEL ET COMPTES ASSIMILES,4,,,
455,321000,PERSONNEL - REMUNERATIONS DUES,4,,,
456,321100,salaires et traitements dus,4,,,
457,321200,charges sociales dues,4,,,
458,321300,indemnités et avantages dus,4,,,
459,322000,PERSONNEL - COMPTES RATTACHES,4,,,
460,322100,personnel - comptes rattachés (Groupes),4,,,
461,322200,personnel - comptes rattachés (hors groupes),4,,,
462,323000,COMPTES DE REGULARISATION DU PERSONNEL,4,,,
463,323100,comptes de régularisation du personnel (Groupes),4,,,
464,323200,comptes de régularisation du personnel (hors groupes),4,,,
465,324000,PERSONNEL - AVANCES ET ACOMPTES VERSES,4,,,
466,324100,avances et acomptes versés au personnel,4,,,
467,325000,PERSONNEL CENSÉ ETRE RÉGLÉ EN MONNAIES ÉTRANGÈRES,4,,,
468,325100,personnel en monnaies étrangères (Groupes),4,,,
469,325200,personnel en monnaies étrangères (hors groupes),4,,,
470,326000,AUTRES COMPTES DU PERSONNEL,4,,,
471,326100,comptes divers du personnel,4,,,
472,327000,COMPTES TRANSITOIRES DU PERSONNEL,4,,,
473,327100,comptes transitoires du personnel (Groupes),4,,,
474,327200,comptes transitoires du personnel (hors groupes),4,,,
475,329000,PROVISIONS POUR DEPRECIATION DES COMPTES DU PERSONNEL,4,,,
476,329100,provisions pour dépréciation des avances et acomptes versés,4,,,
477,330000,ETATS ET COLLECTIVITES PUBLIQUES ET COMPTES ASSIMILES,4,,,
478,331000,ETATS,4,,,
479,331100,impôts sur les bénéfices,4,,,
480,331200,impôts locaux,4,,,
481,331300,taxes sur le chiffre d'affaires,4,,,
482,331400,autres impôts,3,4,,
483,332000,COLLECTIVITES PUBLIQUES,4,,,
484,332100,régions,4,,,
485,332200,départements,4,,,
486,332300,communes,4,,,
487,332800,autres collectivités publiques,4,,,
488,333000,COMPTES RATTACHES DES ETATS ET COLLECTIVITES PUBLIQUES,4,,,
489,333100,comptes rattachés des États et collectivités publiques (Groupes),4,,,
490,333200,comptes rattachés des États et collectivités publiques (hors groupes),4,,,
491,334000,COMPTES DE REGULARISATION DES ETATS ET COLLECTIVITES PUBLIQUES,4,,,
492,334100,comptes de régularisation des États et collectivités publiques (Groupes),4,,,
493,334200,comptes de régularisation des États et collectivités publiques (hors groupes),4,,,
494,335000,ETATS ET COLLECTIVITES PUBLIQUES CENSES ETRE REGLES EN MONNAIES ETRANGERES,4,,,
495,335100,États et collectivités publiques en monnaies étrangères (Groupes),4,,,
496,335200,États et collectivités publiques en monnaies étrangères (hors groupes),4,,,
497,336000,AUTRES COMPTES DES ETATS ET COLLECTIVITES PUBLIQUES,4,,,
498,336100,comptes divers des États et collectivités publiques,4,,,
499,337000,COMPTES TRANSITOIRES DES ETATS ET COLLECTIVITES PUBLIQUES,4,,,
500,337100,comptes transitoires des États et collectivités publiques (Groupes),4,,,
501,337200,comptes transitoires des États et collectivités publiques (hors groupes),4,,,
502,339000,PROVISIONS POUR DEPRECIATION DES COMPTES DES ETATS ET COLLECTIVITES PUBLIQUES,4,,,
503,339100,provisions pour dépréciation des comptes des États et collectivités publiques,4,,,
504,340000,ASSURANCES,3,4,,
505,341000,ASSURANCES,4,,,
506,341100,assurances sociales,4,,,
507,341200,assurances diverses,4,,,
508,342000,ORGANISMES SOCIAUX,4,,,
509,342100,organismes de prévoyance,4,,,
510,342200,organismes de sécurité sociale,4,,,
511,342800,autres organismes sociaux,4,,,
512,343000,COMPTES RATTACHES DES ASSURANCES ET ORGANISMES SOCIAUX,4,,,
513,343100,comptes rattachés des assurances et organismes sociaux (Groupes),4,,,
514,343200,comptes rattachés des assurances et organismes sociaux (hors groupes),4,,,
515,344000,COMPTES DE REGULARISATION DES ASSURANCES ET ORGANISMES SOCIAUX,4,,,
516,344100,comptes de régularisation des assurances et organismes sociaux (Groupes),4,,,
517,344200,comptes de régularisation des assurances et organismes sociaux (hors groupes),4,,,
518,345000,ASSURANCES ET ORGANISMES SOCIAUX CENSES ETRE REGLES EN MONNAIES ETRANGERES,4,,,
519,345100,assurances et organismes sociaux en monnaies étrangères (Groupes),4,,,
520,345200,assurances et organismes sociaux en monnaies étrangères (hors groupes),4,,,
